date,type,name,author,publish,rating,comment,count
1/10/26,movie,绣春刀,路阳,2014,8,动作片瘾犯了于是再看绣春刀。张震一如既往的帅，服化道还是那么棒，剧情和某几个人演技有点硬伤，不过瑕不掩瑜,106
1/17/26,movie,Joan Didion: The Center Will Not Hold,G. Dunne,2017,6,无功无过的纪录片,94
2/6/26,movie,新世纪福音战士：序,庵野秀明,2007,6,确实只能称为是“序”，但片尾曲很好听，宇多田光我爱你,98
2/7/26,movie,新世纪福音战士：破,庵野秀明,2009,7,节奏太快了，有点像热血漫画…但真嗣的心态变化导致剧情大变这个“点”挺好玩儿的,112
2/8/26,movie,新世纪福音战士：Q,庵野秀明,2012,5,后期拉得一塌糊涂，不知道怎么救,96
3/7/26,movie,新世纪福音战士：终,庵野秀明,2021,6,勉强圆回来了，抑郁少年的心情历经这么多年也平稳落地了——就是俗了。司令作为反派塑造堪称灾难，B格全无,155
3/8/26,movie,好东西,邵艺辉,2024,7,提振人心的小妞电影，用mv偷懒的地方有点多，也完全不切实际，但作为喜剧片还是足够好笑的。感想是：你上海了我，还一笑而过,123
3/21/26,movie,Manchester by the Sea,K. Lonergan,2016,8,沉重的电影，不错的，不知所言,137
5/31/26,movie,"""Wuthering Heights""",E. Fennell,2026,4,看完力竭了。演员神情和服化道都非常现代，很出戏。大哥哥大姐姐，求求你们不要再草了…,136
6/7/26,movie,[The Virgin Suicides](../260609_review_romance/index.qmd#1),S. Coppola,1999,8,讲的是美国东海岸郊区的青少年自杀故事，唯美而压抑的电影，镜头和音乐都非常棒,97
6/7/26,movie,[The Dreamers](../260609_review_romance/index.qmd#2),B. Bertolucci,2003,9,1968年法国学运期间的小故事，沉迷电影和革命的迷茫青少年，互为镜像又拒绝长大的双胞胎，概念很特别,115
6/7/26,movie,[分手的决心](../260609_review_romance/index.qmd#3),朴赞郁,2022,7,汤唯梦男大作，还可以，汤唯演的角色像一个古代的神秘鬼魂，意外地很有漫画感的人设,138
6/8/26,movie,[落叶归根](../260609_review_romance/index.qmd#4),张扬,2007,9,非常棒的公路电影。养蜂人那段故事真好，西南大地的风景真美，让人有了更多活下去的力量,110
6/9/26,movie,"[Montréal, ma belle](../260609_review_romance/index.qmd#5)",和晓丹,2025,9,太好看的爱情片，陈冲把我迷得神魂颠倒，那种70后优雅女人的气质太传神了,117
6/9/26,movie,[面子](../260609_review_romance/index.qmd#6),伍思薇,2004,10,女同迪士尼。又可爱又搞笑，妈妈和两位女主都好萌，结局就像童话一样美,91
6/12/26,movie,The Wire (Season 1),D. Simon,2002,10,现实主义至上，喜欢这种警匪片。Dee和Lester的刻画很好，Wallace的剧情线令人唏嘘，Omar非常有魅力，Stringer好帅。,720
6/13/26,movie,The Wire (Season 2),D. Simon,2002,9,讲的是港口工人阶级随着全球化衰落的故事，好看，Frank的故事很悲剧,720
6/21/26,movie,"Paris, Texas",W. Wenders,1984,7,为了Lana的歌去看的，画面和表现形式很美，剧情后面落得太实了，有点拉,147
6/24/26,movie,李米的猜想,曹保平,2008,9,很有年代感的爱情片，所有人都很恋爱脑很单纯。周迅的演技太好了，最后一段看录像带的真的是神来之笔,96
6/25/26,movie,蓝色大门,易智言,2002,10,特别特别完美的青春片。男女主都好可爱。“我闭上眼睛看不到我自己 但我可以看见你” 啊呀。真的是高中生的想法……,85
6/27/26,movie,リンダ リンダ リンダ,山下敦弘,2005,9,完美的青春片+1。让韩国留学生来担当元气主唱这一点很有趣。贝斯手酷酷的，冷脸萌好可爱。,114
