date,lifer
7/22/19,5
12/26/19,10
11/10/21,15
3/5/22,20
3/11/22,25
2/9/23,30
3/15/23,35
6/26/23,40
10/21/23,45
3/19/24,50
6/15/24,55
7/10/24,60
10/26/24,65
1/4/25,70
3/18/25,75
4/13/25,80
4/27/25,90
5/24/25,95
6/3/25,105
6/11/25,110
7/21/25,115
7/27/25,120
10/11/25,125
11/15/25,130
11/28/25,135
12/28/25,145
1/1/26,155
3/21/26,165
3/25/26,170
5/20/26,175
5/22/26,180
5/23/26,185
6/16/26,190
6/21/26,195
