Picture,Common Name,Scientific Name,Family,Last Seen,Comments,location
![](birdspics/tennessee_warbler_2510.jpg),Tennessee Warbler 灰冠虫森莺 ![](pixelart/tennesseewarbler_s.png),*leiothlypis peregrina*,Wood-Warblers,"Oct '25, West Lafayette IN",actually really hard to ID so not sure,US
![](birdspics/common_yellowthroat_2605.jpg),Common Yellowthroat 黄喉地莺 ![](pixelart/commonyellowthroat_s.png),*geothlypis trichas*,Wood-Warblers,"May '26, Porter IN",NA,US
![](birdspics/american_redstart_2605.jpg),American Redstart 橙尾鸲莺 ![](pixelart/americanredstart_s.png),*setophaga ruticilla*,Wood-Warblers,"May '26, West Lafayette IN",NA,US
![](birdspics/northern_parula_2605.jpg),Northern Parula 北森莺 ![](pixelart/northernparula_s.png),*setophaga americana*,Wood-Warblers,"May '26, West Lafayette IN",NA,US
![](birdspics/northern_yellow_warbler_2605.jpg),Northern Yellow Warbler 北美黄林莺 ![](pixelart/northernyellowwarbler_s.png),*setophaga aestiva*,Wood-Warblers,"June '26, Chicago IL",NA,US
![](birdspics/yellow_rumped_warbler_2511.jpg),Yellow-rumped Warbler 黄腰白喉林莺 ![](pixelart/yellowrumpedwarbler_s.png),*setophaga auduboni*,Wood-Warblers,"Nov '25, West Lafayette IN",NA,US
na,Yellow-throated Warbler 黄喉林莺 ![](pixelart/yellowthroatedwarbler_s.png),*setophaga dominica*,Wood-Warblers,"June '26, West Lafayette IN","only heard it singing, a descending song",US
na,Grey Wagtail 灰鹡鸰,*motacilla cinerea*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu","although called 'grey wagtail', its most distinguishable feature is its yellow belly",CN
![](birdspics/white_wagtail_2512.jpg),White Wagtail 白鹡鸰 ![](pixelart/whitewagtail_s.png),*motacilla alba*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu","tail wags endlessly, and flies in 'sine function'",CN
![](birdspics/olive_backed_pipit_2512.jpg),Olive-backed Pipit 树鹨 ![](pixelart/olivebackedpipit_s.png),*anthus hodgsoni*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu",pipits are winter birds in Suzhou,CN
![](birdspics/richards_pipit_2512.jpg),Richard's Pipit 理氏鹨 ![](pixelart/richardspipit_s.png),*anthus richardi*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/chipping_sparrow_2605.jpg),Chipping Sparrow 褐斑翅雀鹀 ![](pixelart/chippingsparrow_s.png),*spizella passerina*,New World Sparrows,"May '26, West Lafayette IN",NA,US
![](birdspics/field_sparrow_2510.jpg),Field Sparrow 田雀鹀,*spizella pusilla*,New World Sparrows,"Mar '26, West Lafayette IN",NA,US
![](birdspics/american_tree_sparrow_2603.jpg),American Tree Sparrow 树雀鹀 ![](pixelart/americantreesparrow_s.png),*spizelloides arborea*,New World Sparrows,"Mar '26, West Lafayette IN",NA,US
![](birdspics/white_throated_sparrow_2410.jpg),White-throated Sparrow 白喉带鹀 ![](pixelart/whitethroatedsparrow_s.png),*zonotrichia albicollis*,New World Sparrows,"Oct '24, Baltimore MD","found dead around MICA, bird strike",US
![](birdspics/savannah_sparrow_2606.jpg),Savannah Sparrow 稀树草鹀,*passerculus sandwichensis*,New World Sparrows,"June '26, Chicago IL","likes open fields, has a yellow eyebrow",US
![](birdspics/song_sparrow_2603.jpg),Song Sparrow 歌带鹀 ![](pixelart/songsparrow_s.png),*melospiza melodia*,New World Sparrows,"June '26, Chicago IL",has a distinguishable and loud song,US
![](birdspics/eastern_towhee_2605.jpg),Eastern Towhee 棕胁唧鹀,*pipilo erythrophthalmus*,New World Sparrows,"May '26, Porter IN",very big one,US
![](birdspics/dark_eyed_junco_2506.jpg),Dark-eyed Junco (Oregon) 暗眼灯草鹀 ![](pixelart/darkeyedjunco_s.png),*junco hyemalis*,New World Sparrows,"June '25, Malibu CA",west coast and east coast juncos look different,US
![](birdspics/dark_eyed_junco_slate_2603.jpg),Dark-eyed Junco (Slate-colored) 暗眼灯草鹀 ![](pixelart/darkeyedjuncoslate_s.png),*junco hyemalis*,New World Sparrows,"Mar '26, West Lafayette IN",winter birds at indiana,US
![](birdspics/black_faced_bunting_2601.jpg),Black-faced Bunting 灰头鹀 ![](pixelart/blackfacedbunting_s.png),*emberiza apodocephala*,Old World Buntings,"Jan '26, Suzhou Jiangsu",NA,CN
![](birdspics/house_sparrow_2510.jpg),House Sparrow 家麻雀 ![](pixelart/housesparrow_s.png),*passer domesticus*,Old World Sparrows,"Oct '25, West Lafayette IN",white neckline,US
![](birdspics/eurasian_tree_sparrow_1911.jpg),Eurasian Tree Sparrow 麻雀 ![](pixelart/eurasiantreesparrow_s.png),*passer montanus*,Old World Sparrows,"July '25, Beijing",black cheek,CN
![](birdspics/yellow_billed_grosbeak_2601.jpg),Yellow-billed Grosbeak 黑尾蜡嘴雀,*eophona migratoria*,"Finches, Euphonias, and allies","Jan '26, Suzhou Jiangsu",NA,CN
![](birdspics/red_fronted_rosefinch_2303.jpg),Red-fronted Rosefinch 红胸朱雀,*carpodacus puniceus*,"Finches, Euphonias, and allies","Mar '23, Lijiang Yunnan","seen at Yulong 4506 (mountain top with no covering), amazing creature",CN
![](birdspics/house_finch_2203.jpg),House Finch 家朱雀 ![](pixelart/housefinch_s.png),*haemorhous mexicanus*,"Finches, Euphonias, and allies","Mar '26, West Lafayette IN",very small bird,US
![](birdspics/grey_capped_greenfinch_2507.jpg),Grey-capped Greenfinch 金翅雀 ![](pixelart/greycappedgoldfinch_s.png),*chloris sinica*,"Finches, Euphonias, and allies","July '25, Yantai Shandong",NA,CN
![](birdspics/american_goldfinch_2605.jpg),American Goldfinch 北美金翅雀 ![](pixelart/americangoldfinch_s.png),*spinus tristis*,"Finches, Euphonias, and allies","June '26, Chicago IL",beautiful yellow fairies,US
![](birdspics/lesser_goldfinch_2506.jpg),Lesser Goldfinch 暗背金翅雀 ![](pixelart/lessergoldfinch_s.png),*carduelis psaltria*,"Finches, Euphonias, and allies","June '25, Los Angeles CA",NA,US
![](birdspics/summer_tanager_2605.jpg),Summer Tanager 玫红丽唐纳雀,*piranga rubra*,"Cardinals, Grosbeaks, and allies","May '26, Porter IN",stunning red bird,US
![](birdspics/northern_cardinal_2203.jpg),Northern Cardinal 主红雀 ![](pixelart/redcardinal_s.png),*cardinalis cardinalis*,"Cardinals, Grosbeaks, and allies","May '26, West Lafayette IN","cutest and most iconic bird in the USA, state bird of Indiana",US
![](birdspics/indigo_bunting_2605.jpg),Indigo Bunting 靛蓝彩鹀,*passerina cyanea*,"Cardinals, Grosbeaks, and allies","June '26, West Lafayette IN",strikingly indigo,US
![](birdspics/dickcissel_2606.jpg),Dickcissel 美洲雀,*spiza americana*,"Cardinals, Grosbeaks, and allies","June '26, Chicago IL","likes open fields, has a yellow-and-black chest",US
na,Eastern Meadowlark 东草地鹨 ![](pixelart/easternmeadowlark_s.png),*sturnella magna*,Blackbirds,"Mar '26, West Lafayette IN",only heard them singing. never seen with eyes,US
![](birdspics/baltimore_oriole_2605.jpg),Baltimore Oriole 橙腹拟鹂,*icterus galbula*,Blackbirds,"May '26, West Lafayette IN","much smaller than robins, beautiful bird, symbol of Baltimore",US
![](birdspics/red_winged_blackbird_2606.jpg),Red-winged Blackbird 红翅黑鹂 ![](pixelart/redwingedblackbird_s.png),*agelaius phoeniceus*,Blackbirds,"May '26, West Lafayette IN",have a very loud and distinguishable song,US
![](birdspics/brown_headed_cowbird_2603.jpg),Brown-headed Cowbird 褐头牛鹂 ![](pixelart/brownheadedcowbird_s.png),*molothrus ater*,Blackbirds,"May '26, West Lafayette IN",appear smaller than other blackbirds,US
![](birdspics/common_grackle_2505.jpg),Common Grackle 普通拟八哥 ![](pixelart/commongrackle_s.png),*quiscalus quiscula*,Blackbirds,"Mar '26, West Lafayette IN",NA,US
![](birdspics/boat_tailed_grackle_2605.jpg),Boat-tailed Grackle 船尾拟八哥,*quiscalus major*,Blackbirds,"May '26, Newark NJ",female,US
![](birdspics/great_tailed_grackle_2506.jpg),Great-tailed Grackle 大尾拟八哥 ![](pixelart/greattailedgrackle_s.png),*quiscalus mexicanus*,Blackbirds,"June '25, Malibu CA",NA,US
![](birdspics/european_starling_2501.jpg),European Starling 紫翅椋鸟 ![](pixelart/europeanstarling_s.png),*sturnus vulgaris*,Starlings and Mynas,"May '26, West Lafayette IN",NA,US
![](birdspics/red_billed_starling_2512.jpg),Red-billed Starling 丝光椋鸟 ![](pixelart/redbilledstarling_s.png),*spodiopsar cineraceus*,Starlings and Mynas,"Dec '25, Suzhou Jiangsu","cutie pie, red beaks",CN
![](birdspics/white_cheeked_starling_2512.jpg),White-cheeked Starling 灰椋鸟 ![](pixelart/whitecheekedstarling_s.png),*spodiopsar cineraceus*,Starlings and Mynas,"Dec '25, Suzhou Jiangsu","large gatherings on trees, usually hundreds",CN
![](birdspics/crested_myna_2512.jpg),Crested Myna 八哥 ![](pixelart/crestedmyna_s.png),*acridotheres cristatellus*,Starlings and Mynas,"June '25, Suzhou Jiangsu",when flying white patch on wings,CN
