Picture,Common Name,Scientific Name,Family,Last Seen,Comments,location
![](birdspics/lesser_yellowlegs_2504.jpg),Lesser Yellowlegs 小黄脚鹬 ![](pixelart/lesseryellowlegs_s.png),*tringa flavipes*,Shorebirds,"Apr '25, Cambridge MD",long bill and long legs,US
![](birdspics/dunlin_2504.jpg),Dunlin 黑腹滨鹬 ![](pixelart/dunlin_s.png),*calidris alpina*,Shorebirds,"Apr '25, Cambridge MD",medium sized shorebird with a distinguishable black belly when breeding,US
![](birdspics/least_sandpiper_2504.jpg),Least Sandpiper 美洲小滨鹬 ![](pixelart/leastsandpiper_s.png),*calidris minutilla*,Shorebirds,"Apr '25, Cambridge MD","very small, appear in flocks",US
![](birdspics/sandhill_crane_2511.jpg),Sandhill Crane 沙丘鹤 ![](pixelart/sandhillcrane_s.png),*antigone canadensis*,Cranes,"Nov '25, Pulaski IN",loud!!!!,US
![](birdspics/black_crowned_night_heron_2507.jpg),Black-Crowned Night Heron 夜鹭 ![](pixelart/blackcrownednightheron_s.png),*nycticorax nycticorax*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",countless near Suzhou River,"US, CN"
![](birdspics/green_heron_2505.jpeg),Green Heron 美洲绿鹭 ![](pixelart/greenheron_s.png),*butorides virescens*,"Herons, Ibis, and allies","May '25, Baltimore MD",hiding in reeds,US
![](birdspics/gray_heron_1907.jpg),Gray Heron 苍鹭 ![](pixelart/grayheron_s.png),*ardea cinerea*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",NA,"CN, JP"
![](birdspics/great_blue_heron_2403.jpg),Great Blue Heron 大蓝鹭 ![](pixelart/greatblueheron_s.png),*ardea herodias*,"Herons, Ibis, and allies","Mar '26, West Lafayette IN",kinda everywhere,US
![](birdspics/snowy_egret_2506.jpg),Snowy Egret 雪鹭 ![](pixelart/snowyegret_s.png),*egretta thula*,"Herons, Ibis, and allies","June '25, Malibu CA",catching fish in the waves,US
![](birdspics/little_egret_2512.jpg),Little Egret 白鹭 ![](pixelart/littleegret_s.png),*egretta garzetta*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/great_egret_2203.jpg),Great Egret 大白鹭 ![](pixelart/greategret_s.png),*ardea alba*,"Herons, Ibis, and allies","Mar '26, West Lafayette IN",NA,"US, CN"
na,Eastern Cattle Egret 牛背鹭 ![](pixelart/easterncattleegret_s.png),*ardea coromanda*,"Herons, Ibis, and allies","June '25, Suzhou Jiangsu",NA,CN
![](birdspics/eurasian_moorhen_2507.jpg),Eurasian Moorhen 黑水鸡 ![](pixelart/eurasianmoorhen_s.png),*gallinula chloropus*,"Rails, Gallinules, and allies","Dec '25, Suzhou Jiangsu",symbol of DKU community!,CN
![](birdspics/eurasian_coot_2507.jpg),Eurasian Coot 骨顶鸡 ![](pixelart/eurasiancoot_s.png),*fulica atra*,"Rails, Gallinules, and allies","Dec '25, Suzhou Jiangsu",NA,CN
na,American Coot 美洲骨顶 ![](pixelart/americancoot_s.png),*fulica americana*,"Rails, Gallinules, and allies","Apr '25, West Lafayette IN",NA,US
![](birdspics/white_breasted_waterhen_2601.jpg),White-breasted Waterhen 白胸苦恶鸟 ![](pixelart/whitebreastedwaterhen_s.png),*amaurornis phoenicurus*,"Rails, Gallinules, and allies","Jan '26, Suzhou Jiangsu","suprisingly small, cutie pie with long, long toes",CN
![](birdspics/turkey_2505.jpg),Turkey 火鸡 ![](pixelart/wildturkey_s.png),*meleagris gallopavo*,"Grouse, Quail, and Allies","May '25, New York NY",Named 'Roosey',CN
![](birdspics/rock_pigeon_2309.jpg),Rock Pigeon 岩鸽 ![](pixelart/rockpigeon_s.png),*columbia livia*,Pigeons and Doves,"Oct '24, Baltimore MD",NYC pigeons are horribly fat,US
![](birdspics/spotted_dove_2011.jpeg),Spotted Dove 珠颈斑鸠 ![](pixelart/spotteddove_s.png),*spilopelia chinensis*,Pigeons and Doves,"Dec '25, Suzhou Jiangsu",dubbed 'the most delicious friend of hawks',CN
![](birdspics/oriental_turtle_dove_2302.jpg),Oriental Turtle-Dove 山斑鸠 ![](pixelart/orientalturtledove_s.png),*streptopelia orientalis*,Pigeons and Doves,"Feb '23, Suzhou Jiangsu",bronze feathers compared to spotted dove,CN
![](birdspics/eurasian_collared_dove_2601.jpg),Eurasian Collared-Dove 灰斑鸠,*streptopelia decaocto*,Pigeons and Doves,"Jan '26, Suzhou Jiangsu",large and pale,CN
![](birdspics/mourning_dove_2503.jpg),Mourning Dove 哀鸽 ![](pixelart/mourningdove_s.png),*zenaida macroura*,Pigeons and Doves,"Mar '26, West Lafayette IN","cute, pink iridescent feathers, owl-like calls",US
![](birdspics/turkey_vulture_2403.jpg),Turkey Vulture 红头美洲鹫 ![](pixelart/turkeyvulture_s.png),*cathartes aura*,"Vultures, Hawks, and Allies","Mar '26, West Lafayette IN",if you go on a road trip they are always there,US
![](birdspics/osprey_2504.jpg),Osprey 鱼鹰 ![](pixelart/osprey_s.png),*pandion haliaetus*,"Vultures, Hawks, and Allies","Apr '25, Cambridge MD",somehow chasing a seagull,US
![](birdspics/coopers_hawk_2511.jpg),Cooper's Hawk 库柏鹰 ![](pixelart/coopershawk_s.png),*accipiter cooperii*,"Vultures, Hawks, and Allies","Mar '26, West Lafayette IN","small cutie, behave like a chicken",US
![](birdspics/bald_eagle_2504.jpg),Bald Eagle 白头海雕 ![](pixelart/baldeagle_s.png),*haliaeetus leucocephalus*,"Vultures, Hawks, and Allies","Mar '26, West Lafayette IN",can be differentiated from turkey vulture while flying by their white tails,US
![](birdspics/red_shouldered_hawk_2603.jpg),Red-shouldered Hawk 红肩𫛭,*buteo lineatus*,"Vultures, Hawks, and Allies","Mar '26, West Lafayette IN","compared to red-tailed hawks, more likely to be seen near water",US
![](birdspics/red_tailed_hawk_2201.jpg),Red-tailed Hawk 红尾𫛭 ![](pixelart/redtailedhawk_s.png),*buteo jamaicensis*,"Vultures, Hawks, and Allies","Aug '25, Indianapolis IN",NA,US
![](birdspics/eurasian_hobby_2507.jpg),Eurasian Hobby 燕隼 ![](pixelart/eurasianhobby_s.png),*falco subbuteo*,Flacons,"July '25, Beijing",NA,CN
![](birdspics/peregrine_falcon_2606.jpg),Peregrine Falcon 游隼,*falco peregrinus*,Flacons,"June '26, Lafayette IN",saw a baby calling for food on top of a building near Lafayette city hall,US
![](birdspics/common_nighthawk_2605.jpg),Common Nighthawk 小美洲夜鹰,*chordeiles minor*,Nightjars,"May '26, West Lafayette IN",white patches on wings from below,US
na,Chimney Swift 烟囱雨燕,*chaetura pelagica*,Swifts,"May '26, West Lafayette IN",NA,US
![](birdspics/common_swift_2507.jpg),Common Swift 普通雨燕 ![](pixelart/commonswift_s.png),*apus apus*,Swifts,"July '25, Beijing",THE famous birds at Beijing Central Axis,CN
![](birdspics/tree_swallow_2504.jpg),Tree Swallow 双色树燕 ![](pixelart/treeswallow_s.png),*tachycineta bicolor*,Martins and Swallows,"Mar '26, West Lafayette IN","small, bright blue under sunlight, white belly",US
![](birdspics/barn_swallow_2507.jpg),Barn Swallow 家燕 ![](pixelart/barnswallow_s.png),*hirundo rustica*,Martins and Swallows,"May '26, West Lafayette IN",longer tail,"US, CN"
![](birdspics/northern_rough_winged_swallow_2606.jpg),Northern Rough-winged Swallow 中北美毛翅燕 ![](pixelart/northernroughwingedswallow_s.png),*stelgidopteryx serripennis*,Martins and Swallows,"June '26, Chicago IL","small, fly very fast, chasing insects near water",US
![](birdspics/eurasian_crag_martin_2306.jpg),Eurasian Crag-Martin 岩燕 ![](pixelart/eurasiancragmartin_s.png),*ptyonoprogne rupestris*,Martins and Swallows,"June '23, Datong Shanxi",NA,CN
![](birdspics/red_rumped_swallow_2507.jpg),Red-rumped Swallow 金腰燕 ![](pixelart/redrumpedswallow_s.png),*cecropis daurica*,Martins and Swallows,"July '25, Suzhou Jiangsu",NA,CN
![](birdspics/cliff_swallow_2606.jpg),Cliff Swallow 美洲燕,*petrochelidon pyrrhonota*,Martins and Swallows,"June '26, Lafayette IN","seen near Wabash bridge, looks like barn swallow but has a fish-like silver underpart",US
na,Common Cuckoo 大杜鹃 ![](pixelart/commoncuckoo_s.png),*cuculus canorus*,Cuckoos,"July '25, Beijing",singing *Cuckoo* endlessly. Chinese people refer it as 布谷 which literally translate as 'sowing seeds',CN
![](birdspics/common_kingfisher_2507.jpg),Common Kingfisher 普通翠鸟 ![](pixelart/commonkingfisher_s.png),*alcedo atthis*,Kingfishers,"Dec '25, Suzhou Jiangsu",very shy,CN
![](birdspics/belted_kingfisher_2605.jpg),Belted Kingfisher 白腹鱼狗 ![](pixelart/beltedkingfisher_s.png),*megaceryle alcyon*,Kingfishers,"May '26, Porter IN",suprisingly large,US
![](birdspics/eurasian_hoopoe_2512.jpg),Eurasian Hoopoe 戴胜 ![](pixelart/eurasianhoopoe_s.png),*upupa epops*,Hoopoes,"Apr '23, Suzhou Jiangsu",NA,CN
![](birdspics/yellow_bellied_sapsucker_2503.jpg),Yellow-bellied Sapsucker 黄腹吸汁啄木鸟 ![](pixelart/yellowbelliedsapsucker_s.png),*sphyrapicus varius*,Woodpeckers,"Mar '25, Baltimore MD",dead due to bird strike,US
![](birdspics/red_bellied_woodpecker_2510.jpg),Red-bellied Woodpecker 红腹啄木鸟 ![](pixelart/redbelliedwoodpecker_s.png),*melanerpes carolinus*,Woodpeckers,"Mar '26, West Lafayette IN",NA,US
![](birdspics/grey_headed_woodpecker_2507.jpg),Grey-headed Woodpecker 灰头绿啄木鸟 ![](pixelart/greyheadedwoodpecker_s.png),*picus canus*,Woodpeckers,"July '25, Beijing",NA,CN
![](birdspics/downy_woodpecker_2501.jpg),Downy Woodpecker 绒啄木鸟 ![](pixelart/downywoodpecker_s.png),*dryobates pubescens*,Woodpeckers,"May '26, West Lafayette IN",very small,US
![](birdspics/hairy_woodpecker_2510.jpg),Hairy Woodpecker 毛啄木鸟 ![](pixelart/hairywoodpecker_s.png),*leuconotopicus villosus*,Woodpeckers,"May '26, West Lafayette IN",NA,US
![](birdspics/northern_flicker_2605.jpg),Northern Flicker 北扑翅䴕 ![](pixelart/northernflicker_s.png),*colaptes auratus*,Woodpeckers,"May '26, West Lafayette IN",dark grey patch on chest,US
![](birdspics/pileated_woodpecker_2511.jpg),Pileated Woodpecker 北美黑啄木鸟 ![](pixelart/pileatedwoodpecker_s.png),*dryocopus pileatus*,Woodpeckers,"Nov '25, West Lafayette IN",strikingly big,US
